datetime,特价,股票,价格
2016/6/19,334,985,1.68
2016/6/20,149,836,2.59
2016/6/21,32,803,2.59
2016/6/22,39,2204,2.59
2016/6/23,42,2738,2.59
2016/6/24,64,2674,2.39
2016/6/25,170,2504,2.39
2016/6/26,132,2372,2.39
2016/6/27,123,2249,2.39
2016/6/28,78,2171,2.39
2016/6/29,130,2041,2.39
2016/6/30,141,1900,2.39
2016/7/1,247,1653,2.39
2016/7/2,322,1331,2.39
2016/7/3,196,1135,2.39
2016/7/4,172,963,2.39
2016/7/5,218,1413,2.39
2016/7/6,216,1965,2.39
2016/7/7,179,1882,2.39
2016/7/8,32,2234,2.39
2016/7/9,95,2139,2.39
2016/7/10,78,2061,2.39
2016/7/11,122,1939,2.39
2016/7/12,164,1967,1.89
2016/7/13,288,1670,1.89
2016/7/14,138,1532,1.89
2016/7/15,189,1343,1.89
2016/7/16,321,1022,1.89
2016/7/17,209,813,1.89
2016/7/18,161,1420,1.89
2016/7/19,157,1359,1.89
2016/7/20,283,1075,1.89
2016/7/21,60,1015,2.39
2016/7/22,98,917,2.39
2016/7/23,133,1550,2.39
2016/7/24,130,1420,2.39
2016/7/25,62,1358,2.39
2016/7/26,97,2893,2.39
2016/7/27,98,3179,2.39
2016/7/28,108,3071,2.39
2016/7/29,128,4095,2.39
2016/7/30,270,3825,2.39
2016/7/31,183,3642,2.39
